Date,Value
06/01/23,1
06/02/23,0
06/03/23,1
06/04/23,1
06/05/23,0
06/06/23,1
06/07/23,1
06/08/23,1
06/09/23,0
06/10/23,0
06/11/23,0
06/12/23,1
06/13/23,1
06/14/23,1
06/15/23,1
06/16/23,0
06/17/23,1
06/18/23,1
06/19/23,0
06/20/23,1
06/21/23,1
06/22/23,1
06/23/23,0
06/24/23,0
06/25/23,1
06/26/23,1
06/27/23,0
06/28/23,1
06/29/23,1
